Country,TotalPrice
Australia,167129.07
Austria,23177.6
Bahrain,1354.37
Belgium,63574.49
Brazil,1411.87
Canada,4883.04
Channel Islands,41453.61
Cyprus,24162.74
Czech Republic,707.72
Denmark,65741.09
EIRE,578501.63
European Community,1291.75
Finland,29514.45
France,326504.67
Germany,417988.561
Greece,18995.49
Iceland,5633.32
Israel,10193.65
Italy,30679.35
Japan,43776.58
Korea,949.82
Lebanon,1693.88
Lithuania,6553.74
Malta,5192.22
Netherlands,548524.95
Nigeria,140.39000000000001
Norway,39243.03
Poland,10528.09
Portugal,52405.45
RSA,1933.74
Saudi Arabia,131.17
Singapore,13158.16
Spain,91859.48
Sweden,87455.42
Switzerland,99082.81
Thailand,3070.54
USA,6286.54
United Arab Emirates,9071.710000000001
United Kingdom,13806423.027
Unspecified,7376.76
West Indies,536.41
